Channels Energies Detected_Value
0 0.00 0.00
1 1.00 1624.00
2 2.00 1585.00
3 3.00 1630.00
4 4.00 1647.00
5 5.00 1646.00
6 6.00 1636.00
7 7.00 1647.00
8 8.00 1681.00
9 9.00 1581.00
10 10.00 1644.00
11 11.00 1646.00
12 12.00 1579.00
13 13.00 1588.00
14 14.00 1558.00
15 15.00 1584.00
16 16.00 1643.00
17 17.00 1631.00
18 18.00 1615.00
19 19.00 1601.00
20 20.00 1514.00
21 21.00 1565.00
22 22.00 1691.00
23 23.00 1586.00
24 24.00 1640.00
25 25.00 1625.00
26 26.00 1478.00
27 27.00 1595.00
28 28.00 1536.00
29 29.00 1594.00
30 30.00 1667.00
31 31.00 1588.00
32 32.00 1632.00
33 33.00 1486.00
34 34.00 1496.00
35 35.00 1599.00
36 36.00 1469.00
37 37.00 1580.00
38 38.00 1563.00
39 39.00 1626.00
40 40.00 1591.00
41 41.00 1585.00
42 42.00 1570.00
43 43.00 1586.00
44 44.00 1620.00
45 45.00 1533.00
46 46.00 1639.00
47 47.00 1466.00
48 48.00 1551.00
49 49.00 1549.00
50 50.00 1529.00
51 51.00 1499.00
52 52.00 1552.00
53 53.00 1614.00
54 54.00 1531.00
55 55.00 1526.00
56 56.00 1500.00
57 57.00 1519.00
58 58.00 1544.00
59 59.00 1529.00
60 60.00 1556.00
61 61.00 1506.00
62 62.00 1559.00
63 63.00 1627.00
64 64.00 1513.00
65 65.00 1537.00
66 66.00 1549.00
67 67.00 1554.00
68 68.00 1500.00
69 69.00 1520.00
70 70.00 1539.00
71 71.00 1485.00
72 72.00 1557.00
73 73.00 1464.00
74 74.00 1524.00
75 75.00 1487.00
76 76.00 1508.00
77 77.00 1445.00
78 78.00 1584.00
79 79.00 1545.00
80 80.00 1541.00
81 81.00 1527.00
82 82.00 1468.00
83 83.00 1550.00
84 84.00 1485.00
85 85.00 1418.00
86 86.00 1538.00
87 87.00 1474.00
88 88.00 1534.00
89 89.00 1525.00
90 90.00 1504.00
91 91.00 1453.00
92 92.00 1519.00
93 93.00 1576.00
94 94.00 1489.00
95 95.00 1547.00
96 96.00 1605.00
97 97.00 1474.00
98 98.00 1532.00
99 99.00 1505.00
100 100.00 1507.00
101 101.00 1520.00
102 102.00 1491.00
103 103.00 1461.00
104 104.00 1489.00
105 105.00 1485.00
106 106.00 1572.00
107 107.00 1441.00
108 108.00 1517.00
109 109.00 1488.00
110 110.00 1568.00
111 111.00 1461.00
112 112.00 1600.00
113 113.00 1454.00
114 114.00 1508.00
115 115.00 1482.00
116 116.00 1530.00
117 117.00 1412.00
118 118.00 1515.00
119 119.00 1493.00
120 120.00 1513.00
121 121.00 1508.00
122 122.00 1441.00
123 123.00 1491.00
124 124.00 1454.00
125 125.00 1473.00
126 126.00 1526.00
127 127.00 1512.00
128 128.00 1444.00
129 129.00 1497.00
130 130.00 1433.00
131 131.00 1553.00
132 132.00 1447.00
133 133.00 1485.00
134 134.00 1510.00
135 135.00 1465.00
136 136.00 1515.00
137 137.00 1543.00
138 138.00 1435.00
139 139.00 1504.00
140 140.00 1404.00
141 141.00 1436.00
142 142.00 1471.00
143 143.00 1421.00
144 144.00 1471.00
145 145.00 1497.00
146 146.00 1460.00
147 147.00 1535.00
148 148.00 1503.00
149 149.00 1475.00
150 150.00 1498.00
151 151.00 1473.00
152 152.00 1416.00
153 153.00 1458.00
154 154.00 1500.00
155 155.00 1478.00
156 156.00 1527.00
157 157.00 1500.00
158 158.00 1482.00
159 159.00 1461.00
160 160.00 1505.00
161 161.00 1484.00
162 162.00 1529.00
163 163.00 1452.00
164 164.00 1502.00
165 165.00 1507.00
166 166.00 1419.00
167 167.00 1484.00
168 168.00 1536.00
169 169.00 1459.00
170 170.00 1501.00
171 171.00 1495.00
172 172.00 1480.00
173 173.00 1448.00
174 174.00 1493.00
175 175.00 1441.00
176 176.00 1472.00
177 177.00 1427.00
178 178.00 1481.00
179 179.00 1476.00
180 180.00 1482.00
181 181.00 1515.00
182 182.00 1429.00
183 183.00 1460.00
184 184.00 1433.00
185 185.00 1431.00
186 186.00 1447.00
187 187.00 1486.00
188 188.00 1533.00
189 189.00 1449.00
190 190.00 1459.00
191 191.00 1368.00
192 192.00 1488.00
193 193.00 1468.00
194 194.00 1394.00
195 195.00 1467.00
196 196.00 1477.00
197 197.00 1464.00
198 198.00 1517.00
199 199.00 1502.00
200 200.00 1451.00
201 201.00 1515.00
202 202.00 1495.00
203 203.00 1504.00
204 204.00 1477.00
205 205.00 1500.00
206 206.00 1478.00
207 207.00 1500.00
208 208.00 1496.00
209 209.00 1480.00
210 210.00 1452.00
211 211.00 1500.00
212 212.00 1498.00
213 213.00 1555.00
214 214.00 1394.00
215 215.00 1554.00
216 216.00 1527.00
217 217.00 1587.00
218 218.00 1495.00
219 219.00 1515.00
220 220.00 1487.00
221 221.00 1417.00
222 222.00 1475.00
223 223.00 1509.00
224 224.00 1476.00
225 225.00 1499.00
226 226.00 1457.00
227 227.00 1562.00
228 228.00 1455.00
229 229.00 1524.00
230 230.00 1559.00
231 231.00 1565.00
232 232.00 1450.00
233 233.00 1598.00
234 234.00 1534.00
235 235.00 1496.00
236 236.00 1495.00
237 237.00 1485.00
238 238.00 1557.00
239 239.00 1440.00
240 240.00 1469.00
241 241.00 1439.00
242 242.00 1497.00
243 243.00 1539.00
244 244.00 1526.00
245 245.00 1520.00
246 246.00 1596.00
247 247.00 1474.00
248 248.00 1436.00
249 249.00 1452.00
250 250.00 1539.00
251 251.00 1498.00
252 252.00 1499.00
253 253.00 1513.00
254 254.00 1552.00
255 255.00 1539.00
256 256.00 1464.00
257 257.00 1535.00
258 258.00 1560.00
259 259.00 1534.00
260 260.00 1520.00
261 261.00 1531.00
262 262.00 1557.00
263 263.00 1530.00
264 264.00 1560.00
265 265.00 1523.00
266 266.00 1516.00
267 267.00 1568.00
268 268.00 1592.00
269 269.00 1454.00
270 270.00 1439.00
271 271.00 1642.00
272 272.00 1582.00
273 273.00 1523.00
274 274.00 1558.00
275 275.00 1535.00
276 276.00 1439.00
277 277.00 1528.00
278 278.00 1616.00
279 279.00 1557.00
280 280.00 1560.00
281 281.00 1526.00
282 282.00 1497.00
283 283.00 1513.00
284 284.00 1616.00
285 285.00 1590.00
286 286.00 1552.00
287 287.00 1575.00
288 288.00 1569.00
289 289.00 1533.00
290 290.00 1545.00
291 291.00 1512.00
292 292.00 1516.00
293 293.00 1529.00
294 294.00 1536.00
295 295.00 1582.00
296 296.00 1615.00
297 297.00 1580.00
298 298.00 1565.00
299 299.00 1563.00
300 300.00 1570.00
301 301.00 1496.00
302 302.00 1645.00
303 303.00 1528.00
304 304.00 1625.00
305 305.00 1570.00
306 306.00 1538.00
307 307.00 1601.00
308 308.00 1593.00
309 309.00 1528.00
310 310.00 1577.00
311 311.00 1565.00
312 312.00 1591.00
313 313.00 1526.00
314 314.00 1579.00
315 315.00 1567.00
316 316.00 1637.00
317 317.00 1626.00
318 318.00 1667.00
319 319.00 1557.00
320 320.00 1652.00
321 321.00 1589.00
322 322.00 1713.00
323 323.00 1568.00
324 324.00 1632.00
325 325.00 1583.00
326 326.00 1590.00
327 327.00 1641.00
