Channels Energies Detected_Value
0 0.00 0.00
1 0.00 0.00
2 0.00 0.00
3 0.00 0.00
4 0.00 0.00
5 0.00 0.00
6 0.00 0.00
7 0.00 0.00
8 0.00 0.00
9 0.00 0.00
10 0.00 0.00
11 0.00 0.00
12 0.00 0.00
13 0.00 0.00
14 0.00 0.00
15 0.00 0.00
16 0.00 0.00
17 0.00 0.00
18 2.36 1701.00
19 5.55 2564.00
20 8.75 2639.00
21 11.95 2621.00
22 15.14 3498.00
23 18.34 2598.00
24 21.54 2718.00
25 24.74 2601.00
26 27.93 2580.00
27 31.13 3547.00
28 34.33 2615.00
29 37.52 2531.00
30 40.72 2575.00
31 43.92 2427.00
32 47.11 3362.00
33 50.31 2561.00
34 53.51 2564.00
35 56.70 2461.00
36 59.90 2468.00
37 63.10 3385.00
38 66.29 2535.00
39 69.49 2517.00
40 72.69 2499.00
41 75.89 2458.00
42 79.08 3318.00
43 82.28 2580.00
44 85.48 2448.00
45 88.67 2428.00
46 91.87 2499.00
47 95.07 3295.00
48 98.26 2487.00
49 101.46 2533.00
50 104.66 2438.00
51 107.85 2411.00
52 111.05 3196.00
53 114.25 2465.00
54 117.45 2392.00
55 120.64 2477.00
56 123.84 2438.00
57 127.04 3244.00
58 130.23 2415.00
59 133.43 2443.00
60 136.63 2325.00
61 139.82 2406.00
62 143.02 3221.00
63 146.22 2412.00
64 149.41 2416.00
65 152.61 2410.00
66 155.81 2453.00
67 159.01 3164.00
68 162.20 2369.00
69 165.40 2361.00
70 168.60 2466.00
71 171.79 2315.00
72 174.99 2466.00
73 178.19 3206.00
74 181.38 2437.00
75 184.58 2423.00
76 187.78 2370.00
77 190.97 2407.00
78 194.17 3208.00
79 197.37 2385.00
80 200.56 2385.00
81 203.76 2471.00
82 206.96 2410.00
83 210.16 3292.00
84 213.35 2409.00
85 216.55 2442.00
86 219.75 2514.00
87 222.94 2393.00
88 226.14 3195.00
89 229.34 2432.00
90 232.53 2577.00
91 235.73 2486.00
92 238.93 2456.00
93 242.12 3276.00
94 245.32 2368.00
95 248.52 2541.00
96 251.72 2480.00
97 254.91 2412.00
98 258.11 3326.00
99 261.31 2538.00
100 264.50 2503.00
101 267.70 2400.00
102 270.90 2419.00
103 274.09 3312.00
104 277.29 2446.00
105 280.49 2556.00
106 283.68 2506.00
107 286.88 2539.00
108 290.08 3349.00
109 293.27 2553.00
110 296.47 2657.00
111 299.67 2493.00
112 302.87 2638.00
113 306.06 3385.00
114 309.26 2632.00
115 312.46 2627.00
116 315.65 2566.00
117 318.85 2639.00
118 322.05 3459.00
119 325.24 2595.00
120 328.44 2623.00
121 331.64 2729.00
122 334.83 2636.00
123 338.03 3523.00
124 341.23 2723.00
125 344.43 2709.00
126 347.62 2784.00
127 350.82 2771.00
128 354.02 3700.00
129 357.21 2697.00
130 360.41 2725.00
131 363.61 2755.00
132 366.80 2803.00
133 370.00 3718.00
134 373.20 2883.00
135 376.39 2773.00
136 379.59 2828.00
137 382.79 2861.00
138 385.98 2821.00
139 389.18 3788.00
140 392.38 2854.00
141 395.58 2878.00
142 398.77 2967.00
143 401.97 2964.00
144 405.17 3973.00
145 408.36 3030.00
146 411.56 2964.00
147 414.76 2927.00
148 417.95 2998.00
149 421.15 4186.00
150 424.35 3077.00
151 427.54 3096.00
152 430.74 3174.00
153 433.94 3079.00
154 437.14 4135.00
155 440.33 3088.00
156 443.53 3102.00
157 446.73 3196.00
158 449.92 3217.00
159 453.12 4334.00
160 456.32 3242.00
161 459.51 3249.00
162 462.71 3345.00
163 465.91 3288.00
164 469.10 4528.00
165 472.30 3394.00
166 475.50 3372.00
167 478.70 2209.00
168 481.89 0.00
169 485.09 0.00
170 488.29 0.00
171 491.48 0.00
172 494.68 0.00
173 497.88 0.00
174 501.07 0.00
175 504.27 0.00
176 507.47 0.00
177 510.66 0.00
178 513.86 0.00
179 517.06 0.00
180 520.25 0.00
181 523.45 0.00
182 526.65 0.00
183 529.85 0.00
184 533.04 0.00
185 536.24 0.00
186 539.44 0.00
187 542.63 0.00
188 545.83 0.00
189 549.03 0.00
190 552.22 0.00
191 555.42 0.00
192 558.62 0.00
193 561.81 0.00
194 565.01 0.00
195 568.21 0.00
196 571.41 0.00
197 574.60 0.00
198 577.80 0.00
199 581.00 0.00
200 584.19 0.00
201 587.39 0.00
202 590.59 0.00
203 593.78 0.00
204 596.98 0.00
205 600.18 0.00
206 603.37 0.00
207 606.57 0.00
208 609.77 0.00
209 612.96 0.00
210 616.16 0.00
211 619.36 0.00
212 622.56 0.00
213 625.75 0.00
214 628.95 0.00
215 632.15 0.00
216 635.34 0.00
217 638.54 0.00
218 641.74 0.00
219 644.93 0.00
220 648.13 0.00
221 651.33 0.00
222 654.52 0.00
223 657.72 0.00
224 660.92 0.00
225 664.12 106665.00
226 667.31 0.00
227 670.51 0.00
228 673.71 0.00
229 676.90 0.00
230 680.10 0.00
231 683.30 0.00
232 686.49 0.00
233 689.69 0.00
234 692.89 0.00
235 696.08 0.00
236 699.28 0.00
237 702.48 0.00
238 705.67 0.00
239 708.87 0.00
240 712.07 0.00
241 715.27 0.00
242 718.46 0.00
243 721.66 0.00
244 724.86 0.00
245 728.05 0.00
246 731.25 0.00
247 734.45 0.00
248 737.64 0.00
249 740.84 0.00
250 744.04 0.00
251 747.23 0.00
252 750.43 0.00
253 753.63 0.00
254 756.83 0.00
255 760.02 0.00
256 763.22 0.00
257 766.42 0.00
258 769.61 0.00
259 772.81 0.00
260 776.01 0.00
261 779.20 0.00
262 782.40 0.00
263 785.60 0.00
264 788.79 0.00
265 791.99 0.00
266 795.19 0.00
267 798.39 0.00
268 801.58 0.00
269 804.78 0.00
270 807.98 0.00
271 811.17 0.00
272 814.37 0.00
273 817.57 0.00
274 820.76 0.00
275 823.96 0.00
